lop	tiet	GV1001	GV1002	GV1003	GV1004	GV1005	GV1006	GV1007	GV1008	GV1009	GV1010	GV1011	GV1012	GV1013	GV1015	GV1016	GV1017	GV1018	GV1019	GV1020	GV1021	GV1022	GV1023	GV1024	GV1025	GV1026	GV1027	GV1028	GV1029	GV1030	GV1031	GV1032	GV1033	GV1034	GV1035	GV1036	GV1037	GV1038	GV1039	GV1040	GV1041	GV1042	GV1043	GV1044	GV1045	GV1046	GV1047	GV1048	GV1049	GV1050	GV1051	GV1052	GV1053	GV1054	GV1056	GV1057	GV1058	GV1059	GV1060	GV1061	GV1062	GV1063	GV1064	GV1065	GV1066	GV1067	GV1068	GV1069	GV1070	GV1071	GV1073	GV1074	GV1076	GV1077	GVNN01	GVNN02	GVNN03
4	1	Toan - 10E	Toan - 11D	Toan - 12G	Toan - 12M	Toan - 12D	Toan - 11N	Toan - 11K	Toan - 11A	Toan - 11M	Toan - 11H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 12A	Anh - 10H	 - 	Anh - 10M	Anh - 10G	 - 	Anh - 12B	Anh - 11B	 - 	Ly - 12E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 11P	CN - 10K	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Dia - 12K	Dia - 12H	Dia - 10B	GDCD - 12C	GDCD - 11T	 - 	TD - 10D	TD - 11Q	TD - 10N	TD - 11C	 - 	QP - 10C	 - 	Tin - 10A	 - 	Tin - 12N	CN - 11E	 - 	 - 	 - 	AVNN - 11G	 - 	 - 	
4	2	Toan - 10E	Toan - 11D	Toan - 12G	Toan - 12M	Toan - 12D	Toan - 11N	Toan - 11K	Toan - 11A	Toan - 11M	Toan - 11H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10H	 - 	Anh - 10M	Anh - 10G	 - 	Anh - 12B	Anh - 11B	Anh - 10B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12E	CN - 10C	 - 	Sinh - 12K	 - 	 - 	Su - 12C	 - 	 - 	 - 	 - 	Dia - 12A	 - 	GDCD - 12H	 - 	 - 	TD - 10D	TD - 11Q	TD - 10N	TD - 11C	 - 	 - 	Tin - 11P	Tin - 10A	 - 	Tin - 12N	CN - 11T	 - 	 - 	 - 	AVNN - 11G	AVNN - 10K	AVNN - 11E	
4	3	Toan - 12N	Toan - 10K	Toan - 10C	Toan - 11B	Toan - 11C	Toan - 11G	Toan - 11Q	Toan - 10B	Toan - 10D	Toan - 10H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 11E	 - 	 - 	 - 	Anh - 11K	Anh - 11H	CN - 12E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 11T	Sinh - 10A	Sinh - 12G	Sinh - 12A	 - 	 - 	Su - 12B	 - 	Su - 10E	 - 	Dia - 12M	Dia - 12C	Dia - 10N	 - 	GDCD - 12K	 - 	 - 	TD - 11P	TD - 12D	TD - 11D	QP - 11N	QP - 10G	 - 	 - 	 - 	Tin - 12H	CN - 11A	 - 	 - 	 - 	AVNN - 11M	 - 	AVNN - 10M	
4	4	Toan - 12N	Toan - 10K	Toan - 10C	Toan - 11B	Toan - 11C	Toan - 11G	Toan - 11Q	Toan - 10B	Toan - 10D	Toan - 10H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 11E	 - 	 - 	 - 	Anh - 11K	Anh - 11H	Ly - 10M	CN - 12A	 - 	Ly - 12H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12C	 - 	 - 	Sinh - 12B	Sinh - 10G	 - 	Su - 12K	Su - 12E	 - 	 - 	Dia - 11N	 - 	Dia - 10N	GDCD - 12M	GDCD - 12G	GDCD - 10A	 - 	TD - 11P	TD - 12D	TD - 11D	 - 	QP - 10E	Tin - 11T	 - 	 - 	 - 	CN - 11M	 - 	 - 	 - 	 - 	AVNN - 11A	 - 	
4	5	Toan - 12C	 - 	 - 	 - 	Toan - 12H	Toan - 11T	Toan - 12E	 - 	Toan - 11P	Toan - 11E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 11C	 - 	 - 	 - 	Anh - 10K	Anh - 11N	Ly - 12K	Ly - 10D	 - 	Ly - 11D	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12N	 - 	Sinh - 12D	Sinh - 12B	Sinh - 10M	Su - 11A	Su - 12M	Su - 12A	Su - 10C	 - 	Dia - 11H	Dia - 10A	 - 	GDCD - 10G	GDCD - 11M	GDCD - 10B	 - 	 - 	 - 	 - 	QP - 11K	QP - 12G	Tin - 11Q	 - 	 - 	Tin - 10H	CN - 11G	 - 	 - 	 - 	AVNN - 10N	AVNN - 10E	AVNN - 11B	
5	1	 - 	Toan - 10G	Toan - 12K	Toan - 12A	Toan - 12H	 - 	Toan - 11Q	Toan - 10M	Toan - 11M	 - 	 - 	 - 	Van - 10D	Van - 12D	 - 	Van - 11H	Van - 11B	 - 	Van - 11D	Van - 11N	 - 	 - 	 - 	Anh - 11G	 - 	 - 	 - 	 - 	Anh - 10N	 - 	 - 	 - 	Ly - 10B	 - 	 - 	 - 	 - 	 - 	Hoa - 12M	Hoa - 10K	Hoa - 12G	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 10H	 - 	 - 	 - 	Su - 11K	 - 	Dia - 12B	Dia - 10C	Dia - 11P	 - 	 - 	 - 	TD - 10A	TD - 11T	TD - 12E	TD - 11A	QP - 11E	QP - 12N	Tin - 12C	Tin - 10E	 - 	 - 	 - 	 - 	 - 	 - 	AVNN - 11C	 - 	 - 	
5	2	 - 	Toan - 10G	Toan - 12K	Toan - 12A	Toan - 12H	 - 	 - 	Toan - 10M	 - 	 - 	 - 	 - 	Van - 10D	Van - 12D	 - 	 - 	Van - 11B	 - 	Van - 11D	Van - 11N	 - 	 - 	Anh - 11M	Anh - 11G	Anh - 11P	Anh - 11Q	 - 	Anh - 10E	Anh - 10N	 - 	 - 	Ly - 10C	Ly - 11K	 - 	 - 	 - 	 - 	 - 	Hoa - 12M	 - 	Hoa - 12G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Su - 12B	 - 	Su - 11H	Su - 10B	Dia - 11E	Dia - 10K	 - 	 - 	 - 	 - 	TD - 10A	TD - 11T	TD - 12E	TD - 11A	 - 	QP - 12N	Tin - 12C	 - 	 - 	Tin - 10H	 - 	 - 	 - 	 - 	AVNN - 11C	 - 	 - 	
5	3	 - 	 - 	 - 	 - 	 - 	 - 	Toan - 12B	 - 	Toan - 10D	 - 	 - 	 - 	 - 	Van - 11E	 - 	Van - 10C	Van - 12E	Van - 12C	 - 	Van - 10K	 - 	 - 	Anh - 11M	Anh - 12G	Anh - 11P	Anh - 11Q	Anh - 11A	 - 	 - 	 - 	Ly - 10H	 - 	 - 	 - 	 - 	Ly - 12N	Ly - 11C	 - 	 - 	Hoa - 11T	 - 	 - 	 - 	 - 	 - 	Sinh - 11D	 - 	Sinh - 10N	 - 	Su - 12D	Su - 12H	 - 	Su - 11G	Dia - 11K	 - 	Dia - 10G	GDCD - 10E	 - 	 - 	TD - 10B	TD - 12K	 - 	TD - 11B	QP - 11H	QP - 12M	Tin - 12A	 - 	Tin - 11N	Tin - 10M	 - 	 - 	Van - 10A	 - 	 - 	 - 	 - 	
5	4	 - 	 - 	 - 	 - 	 - 	 - 	Toan - 12B	 - 	Toan - 11P	 - 	 - 	 - 	 - 	Van - 11E	 - 	Van - 10C	Van - 12E	Van - 12C	 - 	Van - 10K	 - 	Anh - 12N	 - 	 - 	 - 	Anh - 11D	 - 	 - 	 - 	 - 	Ly - 10E	Ly - 10N	Ly - 11A	 - 	 - 	 - 	 - 	 - 	Hoa - 11C	Hoa - 11H	Hoa - 11Q	Hoa - 12H	Hoa - 10G	 - 	 - 	 - 	 - 	Sinh - 11N	 - 	Su - 12M	Su - 12G	Su - 11M	 - 	Dia - 11G	Dia - 10H	Dia - 10D	 - 	GDCD - 11K	 - 	TD - 10B	TD - 12K	 - 	TD - 11B	 - 	QP - 12D	Tin - 12A	 - 	 - 	Tin - 10M	 - 	 - 	Van - 10A	 - 	 - 	AVNN - 11T	 - 	
5	5	 - 	 - 	 - 	Toan - 11B	 - 	Toan - 11T	 - 	Toan - 10B	Toan - 11P	 - 	 - 	 - 	Van - 11A	 - 	 - 	 - 	 - 	Van - 12H	 - 	 - 	 - 	Anh - 10D	Anh - 10A	 - 	 - 	 - 	Anh - 12D	 - 	 - 	 - 	 - 	Ly - 12G	Ly - 11N	 - 	 - 	Ly - 11E	Ly - 12B	Hoa - 12A	Hoa - 12E	 - 	Hoa - 12C	Hoa - 10C	Hoa - 11K	 - 	 - 	Sinh - 12M	Sinh - 11C	Sinh - 10K	 - 	 - 	Su - 12N	Su - 11Q	Su - 10N	Dia - 11M	Dia - 10E	Dia - 10M	GDCD - 10H	GDCD - 11H	 - 	 - 	 - 	 - 	 - 	 - 	QP - 12K	 - 	 - 	Tin - 11G	Tin - 10G	 - 	 - 	 - 	 - 	 - 	AVNN - 11D	 - 	
