5420	3
5390	8
5330	23
5320	25
5290	32
5265	40
5260	46
5250	55
5235	56
5205	60
5175	63
5125	88
5100	91
5085	102
5070	110
5025	112
5005	116
4960	127
4935	128
4920	135
4910	140
4900	162
4845	167
4820	200
4770	202
4750	208
4730	229
4720	232
4710	245
4670	259
4655	263
4605	272
4540	274
4505	300
4485	313
4465	375
4445	417
4435	435
4425	483
4420	489
4395	490
4375	543
4335	564
4325	569
4320	596
4310	683
4305	813
4290	846
4270	971
4250	1010
4240	1026
4225	1027
4190	1072
4180	1148
4165	1157
4140	1177
4130	1237
4050	1268
4010	1279
4000	1301
3990	1368
3985	1401
3960	1410
3940	1537
3920	1555
3915	1558
3905	1606
3890	1622
3880	1625
3875	1740
3845	1807
3830	1821
3820	1870
3750	1905
3745	2065
3715	2167
3705	2463
3685	2521
3645	2572
3585	2613
3575	2756
3540	2837
3525	2923
3510	3062
3500	3269
3465	3292
3425	3347
3415	3512
3405	3573
3385	3752
3375	4039
3370	4103
3360	4112
3340	4791
3330	4842
3325	4898
3310	5188
3305	5925
3285	6738
3255	7104
3250	7260
3185	7268
3175	7523
3160	8079
3135	11063
3120	11376
3110	99922
