lop	tiet	12A	12B	12C	12D	12E	12G	12H	12K	12M	12N	10A	10B	10C	10D	10E	10G	10H	10K	10M	10N	11A	11B	11C	11D	11E	11G	11H	11K	11M	11N	11P	11Q	11T
4	1	Anh - GV1023	Anh - GV1029	GDCD - GV1059	Toan - GV1005	Ly - GV1032	Toan - GV1003	Dia - GV1057	Sinh - GV1048	Toan - GV1004	Tin - GV1071	Tin - GV1069	Dia - GV1058	Ly - GV1033	TD - GV1062	Toan - GV1001	Anh - GV1027	Anh - GV1024	CN - GV1046	Anh - GV1026	TD - GV1064	Toan - GV1008	Anh - GV1030	TD - GV1065	Toan - GV1002	QP - GV1066	Ly - GV1035	Toan - GV1010	Toan - GV1007	Toan - GV1009	Toan - GV1006	Sinh - GV1045	TD - GV1063	Su - GV1050	
4	2	QP - GV1066	Anh - GV1029	Su - GV1051	Toan - GV1005	Sinh - GV1045	Toan - GV1003	QP - GV1067	Ly - GV1032	Toan - GV1004	Tin - GV1071	Tin - GV1069	Sinh - GV1046	Dia - GV1057	TD - GV1062	Toan - GV1001	Anh - GV1027	Anh - GV1024	Sinh - GV1049	Anh - GV1026	TD - GV1064	Toan - GV1008	Anh - GV1030	TD - GV1065	Toan - GV1002	Ly - GV1037	AVNN - GVNN01	Toan - GV1010	Toan - GV1007	Toan - GV1009	Toan - GV1006	Ly - GV1035	TD - GV1063	GDCD - GV1060	
4	3	GDCD - GV1059	Su - GV1051	Ly - GV1037	TD - GV1064	CN - GV1032	Ly - GV1033	Tin - GV1071	GDCD - GV1060	Dia - GV1056	Toan - GV1001	Sinh - GV1046	TD - GV1062	Toan - GV1003	Toan - GV1009	Anh - GV1029	QP - GV1067	Toan - GV1010	Toan - GV1002	Toan - GV1008	Dia - GV1058	CN - GV1073	Toan - GV1004	Toan - GV1005	TD - GV1065	Anh - GV1026	Toan - GV1006	Anh - GV1031	Anh - GV1030	AVNN - GVNN01	QP - GV1066	TD - GV1063	Toan - GV1007	Sinh - GV1045	
4	4	CN - GV1033	Sinh - GV1048	Dia - GV1057	TD - GV1064	Su - GV1052	Sinh - GV1047	Ly - GV1035	Su - GV1051	GDCD - GV1059	Toan - GV1001	GDCD - GV1061	TD - GV1062	Toan - GV1003	Toan - GV1009	QP - GV1067	Tin - GV1071	Toan - GV1010	Toan - GV1002	Ly - GV1032	Dia - GV1058	Dia - GV1056	Toan - GV1004	Toan - GV1005	TD - GV1065	Anh - GV1026	Toan - GV1006	Anh - GV1031	Anh - GV1030	Ly - GV1037	Sinh - GV1049	TD - GV1063	Toan - GV1007	Tin - GV1068	
4	5	Su - GV1052	Sinh - GV1048	Toan - GV1001	Sinh - GV1047	Toan - GV1007	QP - GV1067	Toan - GV1005	Toan - GV1003	Su - GV1051	Sinh - GV1045	AVNN - GVNN01	GDCD - GV1061	CN - GV1046	GDCD - GV1059	Ly - GV1032	Dia - GV1058	Tin - GV1071	Dia - GV1057	Sinh - GV1049	Ly - GV1033	Ly - GV1034	Ly - GV1037	Anh - GV1026	Ly - GV1035	Toan - GV1010	CN - GV1073	Dia - GV1056	QP - GV1066	GDCD - GV1060	Anh - GV1031	Toan - GV1009	Tin - GV1068	Toan - GV1006	
5	1	Toan - GV1004	Dia - GV1056	Van - GV1019	Van - GV1015	TD - GV1064	Van - GV1012	Toan - GV1005	Toan - GV1003	Van - GV1011	Hoa - GV1043	TD - GV1062	Dia - GV1058	Dia - GV1057	Van - GV1013	AVNN - GVNN02	Toan - GV1002	Sinh - GV1049	QP - GV1067	Toan - GV1008	Anh - GV1030	TD - GV1065	Van - GV1018	AVNN - GVNN01	Van - GV1020	Anh - GV1026	Anh - GV1025	Van - GV1017	Van - GV1016	Tin - GV1070	Van - GV1021	Tin - GV1068	GDCD - GV1060	TD - GV1063	
5	2	Toan - GV1004	GDCD - GV1059	Van - GV1019	Van - GV1015	TD - GV1064	Hoa - GV1042	Toan - GV1005	Toan - GV1003	Van - GV1011	Hoa - GV1043	TD - GV1062	Su - GV1054	Sinh - GV1049	Van - GV1013	AVNN - GVNN02	Toan - GV1002	Su - GV1051	Dia - GV1057	Toan - GV1008	Anh - GV1030	TD - GV1065	Van - GV1018	Hoa - GV1040	Van - GV1020	AVNN - GVNN03	Anh - GV1025	Toan - GV1010	Toan - GV1007	Anh - GV1024	Van - GV1021	Anh - GV1026	Anh - GV1027	TD - GV1063	
5	3	Tin - GV1068	Toan - GV1007	Anh - GV1025	Su - GV1051	Van - GV1018	Su - GV1052	Hoa - GV1043	TD - GV1063	QP - GV1067	Van - GV1012	Toan - GV1003	Van - GV1016	Van - GV1017	AVNN - GVNN01	GDCD - GV1059	AVNN - GVNN03	Ly - GV1032	Van - GV1021	Tin - GV1071	Hoa - GV1039	Anh - GV1028	TD - GV1065	Toan - GV1005	Hoa - GV1041	Toan - GV1010	Tin - GV1070	QP - GV1066	Dia - GV1056	Anh - GV1024	GDCD - GV1060	Anh - GV1026	Anh - GV1027	Dia - GV1058	
5	4	Tin - GV1068	Toan - GV1007	Anh - GV1025	QP - GV1067	Van - GV1018	Su - GV1052	Hoa - GV1043	TD - GV1063	Hoa - GV1040	Van - GV1012	Toan - GV1003	Van - GV1016	Van - GV1017	Dia - GV1058	Sinh - GV1049	Ly - GV1036	Dia - GV1057	Van - GV1021	Tin - GV1071	Van - GV1019	Su - GV1050	TD - GV1065	QP - GV1066	AVNN - GVNN02	Toan - GV1010	Dia - GV1056	Ly - GV1038	GDCD - GV1060	Sinh - GV1048	Su - GV1054	Toan - GV1009	Hoa - GV1042	Hoa - GV1041	
5	5	Hoa - GV1039	Ly - GV1038	Su - GV1051	Anh - GV1028	Ly - GV1032	Anh - GV1025	Van - GV1019	QP - GV1067	Sinh - GV1047	Su - GV1052	Ly - GV1036	Toan - GV1008	Hoa - GV1043	Anh - GV1023	Dia - GV1057	Tin - GV1071	GDCD - GV1059	Hoa - GV1041	Dia - GV1058	Su - GV1054	Hoa - GV1040	GDCD - GV1061	Sinh - GV1048	Su - GV1050	Sinh - GV1049	Hoa - GV1042	GDCD - GV1060	AVNN - GVNN03	Dia - GV1056	Ly - GV1034	Toan - GV1009	QP - GV1066	AVNN - GVNN02	
